issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260818101010887,131,1,3,1,5.0,Small,Odd,,20260818101010887
20260818101010886,124,1,2,4,7.0,Small,Odd,,20260818101010886
20260818101010885,251,2,5,1,8.0,Small,Even,,20260818101010885
20260818101010884,645,6,4,5,15.0,Big,Odd,,20260818101010884
20260818101010883,233,2,3,3,8.0,Small,Even,,20260818101010883
20260818101010882,636,6,3,6,15.0,Big,Odd,,20260818101010882
20260818101010881,156,1,5,6,12.0,Big,Even,,20260818101010881
20260818101010880,662,6,6,2,14.0,Big,Even,,20260818101010880
20260818101010879,323,3,2,3,8.0,Small,Even,,20260818101010879
20260818101010878,323,3,2,3,8.0,Small,Even,,20260818101010878
20260818101010877,315,3,1,5,9.0,Small,Odd,,20260818101010877
20260818101010876,155,1,5,5,11.0,Big,Odd,,20260818101010876
20260818101010875,633,6,3,3,12.0,Big,Even,,20260818101010875
20260818101010874,164,1,6,4,11.0,Big,Odd,,20260818101010874
20260818101010870,263,2,6,3,11.0,Big,Odd,,20260818101010870
20260818101010869,166,1,6,6,13.0,Big,Odd,,20260818101010869
20260818101010868,616,6,1,6,13.0,Big,Odd,,20260818101010868
20260818101010867,422,4,2,2,8.0,Small,Even,,20260818101010867
20260818101010866,426,4,2,6,12.0,Big,Even,,20260818101010866
20260818101010865,152,1,5,2,8.0,Small,Even,,20260818101010865
20260818101010864,226,2,2,6,10.0,Small,Even,,20260818101010864
20260818101010863,261,2,6,1,9.0,Small,Odd,,20260818101010863
20260818101010862,251,2,5,1,8.0,Small,Even,,20260818101010862
20260818101010861,411,4,1,1,6.0,Small,Even,,20260818101010861
20260818101010860,543,5,4,3,12.0,Big,Even,,20260818101010860
20260818101010859,113,1,1,3,5.0,Small,Odd,,20260818101010859
20260818101010858,522,5,2,2,9.0,Small,Odd,,20260818101010858
20260818101010857,516,5,1,6,12.0,Big,Even,,20260818101010857
20260818101010856,656,6,5,6,17.0,Big,Odd,,20260818101010856
20260818101010855,335,3,3,5,11.0,Big,Odd,,20260818101010855
20260818101010854,536,5,3,6,14.0,Big,Even,,20260818101010854
20260818101010853,566,5,6,6,17.0,Big,Odd,,20260818101010853
20260818101010852,456,4,5,6,15.0,Big,Odd,,20260818101010852
20260818101010851,512,5,1,2,8.0,Small,Even,,20260818101010851
20260818101010850,445,4,4,5,13.0,Big,Odd,,20260818101010850
20260818101010849,122,1,2,2,5.0,Small,Odd,,20260818101010849
20260818101010848,543,5,4,3,12.0,Big,Even,,20260818101010848
20260818101010847,421,4,2,1,7.0,Small,Odd,,20260818101010847
20260818101010846,213,2,1,3,6.0,Small,Even,,20260818101010846
20260818101010845,433,4,3,3,10.0,Small,Even,,20260818101010845
20260818101010820,511,5,1,1,7.0,Small,Odd,,20260818101010820
20260818101010819,523,5,2,3,10.0,Small,Even,,20260818101010819
20260818101010818,216,2,1,6,9.0,Small,Odd,,20260818101010818
20260818101010817,126,1,2,6,9.0,Small,Odd,,20260818101010817
20260818101010816,114,1,1,4,6.0,Small,Even,,20260818101010816
20260818101010815,112,1,1,2,4.0,Small,Even,,20260818101010815
20260818101010814,534,5,3,4,12.0,Big,Even,,20260818101010814
20260818101010813,446,4,4,6,14.0,Big,Even,,20260818101010813
20260818101010812,353,3,5,3,11.0,Big,Odd,,20260818101010812
20260818101010811,231,2,3,1,6.0,Small,Even,,20260818101010811
20260818101010810,531,5,3,1,9.0,Small,Odd,,20260818101010810
20260818101010809,446,4,4,6,14.0,Big,Even,,20260818101010809
20260818101010808,363,3,6,3,12.0,Big,Even,,20260818101010808
20260818101010807,321,3,2,1,6.0,Small,Even,,20260818101010807
20260818101010806,216,2,1,6,9.0,Small,Odd,,20260818101010806
